company,ticker,year,text
XOM,XOM,2024,"""2025 Sustainability Report Our view to 2050 April 2025 Contents Executive summary . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 02 Our approach to sustainability Integrating sustainability into what we do . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 09 Pursuing environmental excellence Managing environmental performance and compliance . . . . . . . . . . . . . . . . . . . . . . . . . . . ."""
XOM,XOM,2024,"""17 Caring for land and biodiversity . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 19 Conserving water resources . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 24 Improving air quality . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .. . 28 Minimizing operational waste . . . . . . . . . . . . . . . . . . . . . . . . . . . ."""
XOM,XOM,2024,""". . . . . . . . . . . . . . . . . . . . . . . 30 Meeting society’s critical needs for energy and products Supporting a just transition . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 33 Expanding the plastics life cycle . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 37 Progressing product safety . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."""
XOM,XOM,2024,""". . . . . . 41 Safeguarding people Leading in personnel safety . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .. . . . . . . . 43 Enhancing process safety . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 47 Respecting human rights . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 52 Contributing to the well-being of communities Managing"""
XOM,XOM,2024,"""socioeconomic impacts . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 56 Working with suppliers . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 64 Sustainability performance data . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 67 About our Advancing Climate Solutions and Sustainability Reports and Cautionary Statement . . . . . . . . . ."""
XOM,XOM,2024,""". . . . . . . . . . . . . . . . . . . . . . 70 ExxonMobil | 2025 Sustainability Report 1 EXECUTIVE SUMMARY Protect Tomorrow. Today. TODAY 4 2050 10 Our approach to sustainability ~ ~ B B people below the people on The world needs energy, more now than ever before. modern energy the planet minimum1 Today, billions of people cannot meet their most basic 2024 Global Outlook needs – like access to clean cooking fuel and electricity. At We’re hard at work creating sustainable solutions that the same"""
XOM,XOM,2024,"""time, billions more need to sustain their quality of improve quality of life and meet society’s evolving needs life and contribute to economic growth. Because we know it’s not just what we do that matters, but And as populations grow, people around the world also how we do it. will need more petrochemical products – critical in cars, homes, hospitals, kitchens – and anywhere people thrive. Protect Tomorrow. Today. is the guiding principle behind our approach to sustainability. It’s also a call"""
XOM,XOM,2024,"""to action. It drives us to look at our businesses with the mindset to be the most responsible operator in our Our 14 sustainability focus areas industry. Delivering economic Respecting It gives us a consistent focus on doing the right things, the benefits human rights right way, to the highest standards. Advancing climate Caring for land We encourage our leaders and teams to ask questions that solutions and biodiversity go beyond “What are we required to do?” We are asking proactive questions"""
XOM,XOM,2024,"""like: Expanding the plastics Minimizing life cycle operational waste • How can we reduce or mitigate emissions, waste, or the resources we use in our operations? Evaluating product Enhancing benefits with life cycle process safety • How can we increase benefits for our communities and assessments reduce impacts? Conserving Progressing water resources product safety • Are there opportunities to collaborate on industry standards and regulations? Improving Leading in The answers are as complex as"""
XOM,XOM,2024,"""our portfolio, and they air quality personnel safety will change over time. How we act on what we learn will ultimately help us capture the full value of our competitive Managing Investing socioeconomic in people advantages – in the right way. impacts “We have a philosophy to be the most responsible operator in our industry. For as long as there’s a demand for oil and gas, you want the most responsible companies producing that.” — Darren Woods, Chairman and CEO ExxonMobil | 2025 Sustainability"""
XOM,XOM,2024,"""Report About the cover: A 2.4 km liquidfied-natural-gas jetty operated by ExxonMobil PNG 2 Limited in Papua New Guinea. What it takes to create sustainable solutions Doing the right things the right way Meeting society’s needs requires long-term focus and large-scale solutions. It also takes collaboration – with everyone our business reaches: Communities Employees Customers Investors Be a trusted partner Provide unrivalled Meet their needs for Deliver industry- that creates high- opportunities"""
